C14T,414 (turbine),L
C15,YC-15,M
C150,150,L
C152,A152 Aerobat,L
C160,C-160,M
C162,162 SkyCatcher,L
C17,C-17 Globemaster 3,H
C170,170,L
C172,172 Skyhawk,L
C175,175 Skylark,L
C177,177 Cardinal,L
C180,180 Skywagon,L
C182,182 Skylane,L
C185,185 Skywagon,L
C188,188 AgWagon,L
C190,190,L
C195,195,L
C2,C-2 Greyhound,M
C205,205,L
C206,206 Stationair,L
C207,207 Stationair 7,L
C208,208 Grand Caravan,L
C210,210 Centurion,L
C212,C-212 Aviocar,M
C21T,421 (turbine),L
C22J,C-22J Ventura,L
C25A,525A Citation CJ2,L
C25B,525B Citation CJ3,L
C25C,525C Citation CJ4,M
C270,C-270 Luciole,L
C27J,C-27J Spartan,M
C295,C-295 Persuader,M
C303,T303 Crusader,L
C30J,C-130J Hercules,M
C310,310,L
C320,320 Skyknight,L
C335,335,L
C336,336 Skymaster,L
C337,337 Super Skymaster,L
C340,340,L
C365,C-3605,L
C402,402,L
C404,404 Titan,L
C411,411,L
C414,414 Chancellor,L
C42,C-42 Bison,L
C421,421,L
C425,425 Conquest 1,L
C441,441 Conquest,L
C46,C-46 Commando,M
C5,C-5 Galaxy,H
C500,500 Citation 1,L
C501,501 Citation 1SP,L
C510,510 Citation Mustang,L
C525,525 Citation CJ1,L
C526,526 CitationJet,L
C550,550 Citation 2,L
C551,551 Citation 2SP,L
C560,560 Citation 5,M
C56X,560XL Citation Excel,M
C650,650 Citation 3,M
C680,680 Citation Sovereign,M
C72R,172RG Cutlass RG,L
C750,750 Citation 10,M
C77R,177RG Cardinal RG,L
C82,Packet,M
C82R,Skylane RG,L
C97,C-97 Stratofreighter,M
CA12,CA-12 Comp Air 12,L
CA19,Boomerang,L
CA1P,CA-10 Comp Air 10,L
CA1T,CA-10XLT Comp Air 10XLT,L
CA25,CA-25 Winjeel,L
CA3,CA-3 Comp Air 3,L
CA4,CA-4 Comp Monster,L
CA6,CA-6 Comp Air 6,L
CA61,CA-61 Mini Ace,L
CA65,CA-65 Skyfly,L
CA7P,CA-7P Comp Air 7P,L
CA7T,Comp Air 7T,L
CA8,Comp Air 8,L
CABN,Cabinaire,L
CAD2,Bush Caddy R-120,L
CAD4,Bush Caddy L-164,L
CAJ,CA-J Comp Air Jet,L
CAML,Camel,L
CAMP,B-4 Aircamper,L
CAN4,AN-4,L
CAPL,Capella,L
CAR,Aerocar,L
CARV,ATL-98 Carvair,M
CASS,Special,L
CAT,PBY Catalina,M
CAT1,Aerocat SR,L
CAT2,Aerocat TR,L
CAW,AW,L
CB1,CB-1 Biplane,L
CCOP,CarterCopter,L
CD2,CD-2 Seastar,L
CDC6,DC-6,L
CDW1,DW-1,L
CE15,Che-15,L
CE22,Che-22 Corvette,L
CE23,Che-23,L
CE25,Che-25,L
